"id","Nombre","Nombre breve","URL","Tipo de dato","Formato","Formato","Tipo de proyecto","Responsable","Año de comienzo","País","Ciudad","Institución","Licencia","CC?","Pago","Cantidad de datos original","Cantidad de datos normalizada","Rangos cantidad de datos","Cantidad estimada","Tipo de edición","Rangos tipos de edición","Época","Género textual","Subgénero textual","Autor","Descarga full-text","Anotación lingüística","Anotación diferente","Metadatos","Comentario"
1,"Biblioteca Virtual Miguel de Cervantes","BVMG","www.cervantesvirtual.com","texto","HTML","markup","biblioteca digital","Vargas Llosa, Mario",1999,"España","Alicante","Universidad de Alicante","?","no","no",3000,3000,4,"sí","filológica",3,"varios","varios","varios","varios","no","no","no",1," "
2,"The Association for Hispanic Classical Theater","Classical Theater","wordpress.comedias.org","texto","HTML","markup","colección de textos","García, Susan",2014,"Estados Unidos","Denison","AHCT","?","no","no",250,250,3,"no","filológica",3,"1500-1700","literatura","teatro","varios","sí","no","no",1,"Año dudoso"
3,"Biblioteca digital Arte Lope","Arte Lope","artelope.uv.es/biblioteca","texto","HTML","markup","colección de textos","Oleza Simó, Joan",2013,"España","Valencia","Universitat de València","C","no","no",120,120,2,"no","filológica",3,"1562-1635","literatura","teatro","Lope","sí","no","sí",1," "
4,"Wikisource","Wikisource","wikisource.org","texto","HTML","markup","colección de textos","Wales, Jimmy",2003,"Estados Unidos","San Petersburgo, Florida","Wikimedia","CC BY-SA","sí","no",5000,5000,4,"sí","no profesoinal",1,"varios","literatura","varios","varios","no","no","no",0," "
5,"Project Gutenberg","Project Gutenberg","www.gutenberg.org","texto","HTML","markup","biblioteca digital","Hart, Michael S.",1971,"Estados Unidos",,"Project Gutenberg","?","no","no",4600,4600,4,"sí","filológica",3,"varios","literatura","varios","varios","sí","no","no",1," "
6,"Clásicos Hispánicos","Clásicos Hispánicos","clasicoshispanicos.com","texto","XML-TEI","XML-TEI","biblioteca digital","Jauralde Pou, Pablo",2012,"Alemania","Würzburg","More Than Books","CC BY-NC","sí","sí",75,75,2,"no","filológica",3,"varios","literatura","varios","varios","sí","no","śi",2," "
7,"Teatro Español del Siglo de Oro","TESO","teso.chadwyck.com","texto","HTML","markup","colección de textos","Simón Palmer, María del Carmen",1997,"Estados Unidos","Ann Arbor","ProQuest","C","no","sí",800,800,3,"no","filológica",3,"1500-1700","literatura","teatro","varios","no","no","sí",1," "
8,"Biblioteca Antológica","Biblioteca Antológica","biblioteca-antologica.org","texto","PDF-txt","PDF","biblioteca digital","?",2009,"España","?","?","?","no","no",800,800,3,"sí","no profesoinal",1,"varios","literatura","varios","varios","sí","no","no",0,"No funciona desde 2015. Los enlaces de las descargas parecen no llevar más a los archivos."
9,"Poemas del alma","Poemas del alma","poemas-del-alma.com","texto","XHTML","markup","biblioteca digital","?",2003,"España","?","?","?","no","no",14000,700,3,"sí","no profesoinal",1,"varios","literatura","poesía","varios","no","no","no",0," "
10,"EpubLibre","EpubLibre","epublibre.org","texto","XHTML","markup","biblioteca digital","?",2013,"España","?","Proyecto Scriptorium","?","no","no",24000,24000,5,"no","no profesoinal",1,"varios","varios","varios","varios","sí","no","no",1," "
11,"Tesoro","Tesoro","bib.uc3m.es/~nogales/xml/tesoro","texto","XML-TEI","XML-TEI","colección de textos","Caridad Sebastián, Mercedes",2000,"España","Madrid","Universidad Carlos III","CC BY?","sí","no",5,5,2,"no","filológica",3,"1500-1700","literatura","teatro","varios","sí","no","sí",2," "
12,"IMPACT-es diachronic corpus","IMPACT","www.digitisation.eu/tools-resources/language-resources/impact-es/","texto","XML-TEI","XML-TEI","colección de textos","Sánchez-Martínez, Felipe",2013,"España","Alicante","Universidad de Alicante","CC BY-NC-SA","sí","no",100,100,2,"no","filológica",3,"1450-1700","literatura","varios","varios","sí","sí","sí",0,"La anotación lingüística solo representa un 7%."
13,"Corpus of Spanish Golden-Age Sonnets","Golden-Age Sonnets","github.com/bncolorado/CorpusSonetosSigloDeOro","texto","XML-TEI","XML-TEI","colección de textos","Navarro-Colorado, Borja",2015,"España","Alicante","Universidad de Alicante","CC BY-NC","sí","no",5000,250,3,"no","filológica",3,"1500-1700","literatura","poesía","varios","sí","no","sí",1," "
14,"Moralischen Wochenschriften","M Wochenschriften","gams.uni-graz.at/archive/objects/container:mws-es/methods/sdef:Context/get?locale=de&mode=&context=es","texto","XML-TEI","XML-TEI","colección de textos","Ertler, Klaus-Dieter",2013,"Austria","Graz","Universtiät Graz","?","no","no",800,800,3,"sí","filológica",3,"1700-1800","periodístico","periodístico","varios","sí","no","sí",3," "
